marka,seri,model,yıl,km,vites,yakıt,kasa_tipi,motor_hacmi,motor_gücü,çekiş,fiyat
Mercedes - Benz,E,200 d Exclusive,2021,25091,Otomatik,Dizel,Sedan,1597,160,Arkadan İtiş,2559000
Mercedes - Benz,C,C 200 Kompressor Elegance,2001,390000,Otomatik,LPG & Benzin,Sedan,1998,163,Arkadan İtiş,330000
Mercedes - Benz,C,C 200 BlueTEC AMG,2015,167000,Otomatik,Dizel,Sedan,1598,136,Arkadan İtiş,1060000
Mercedes - Benz,S,S 350 350 BlueTEC,2016,125000,Otomatik,Dizel,Sedan,2987,258,4WD (Sürekli),4475000
Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,2009,216000,Otomatik,LPG & Benzin,Sedan,1597,156,Arkadan İtiş,550000
Mercedes - Benz,C,C 180 Exclusive,2015,124000,Otomatik,Benzin,Sedan,1595,156,Arkadan İtiş,1150000
Mercedes - Benz,E,300 Exclusive,2017,170000,Otomatik,Benzin,Sedan,1991,245,Arkadan İtiş,2150000
Mercedes - Benz,E,220 D Exclusive,2017,76000,Otomatik,Dizel,Sedan,1950,194,Arkadan İtiş,1845000
Mercedes - Benz,E,200 Classic,2003,289000,Düz,LPG & Benzin,Sedan,1998,136,Arkadan İtiş,230000
Mercedes - Benz,E,270 CDI Avantgarde,2003,392000,Otomatik,Dizel,Sedan,2685,177,Arkadan İtiş,435000
Mercedes - Benz,CLA,180 CDI Style,2014,111000,Otomatik,Dizel,Coupe,1462,109,Önden Çekiş,820000
Mercedes - Benz,C,C 200 AMG,2020,30000,Otomatik,Benzin,Station wagon,1497,184,4WD (Sürekli),1550000
Mercedes - Benz,S,S 320 320 L,2000,572000,Otomatik,Benzin,Sedan,3199,224,Arkadan İtiş,329900
Mercedes - Benz,C,C 200 d BlueTEC AMG,2015,189000,Otomatik,Dizel,Sedan,1598,136,Arkadan İtiş,1150000
Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Style,2013,185000,Düz,Dizel,Hatchback/5,1461,109,Önden Çekiş,505000
Mercedes - Benz,E,250 CGI AMG Premium,2012,235000,Otomatik,Benzin,Sedan,1796,204,Arkadan İtiş,935000
Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,2010,230000,Otomatik,LPG & Benzin,Sedan,1597,156,Arkadan İtiş,630000
Mercedes - Benz,E,200 d AMG,2020,84000,Otomatik,Dizel,Sedan,1597,160,Arkadan İtiş,2425000
Mercedes - Benz,E,220 D AMG,2017,68000,Otomatik,Dizel,Sedan,1900,188,4WD (Sürekli),2370000
Mercedes - Benz,S,S 400 400 d AMG,2021,27088,Otomatik,Dizel,Sedan,2925,340,4WD (Sürekli),9300000
